Lane	PF_Clusters	%_of_the_lane	%_Perfect_barcode	%_One_mismatch_barcode	Yield_(Mbases)	%_PF_Clusters	%_=_Q30_bases	Mean_Quality_Score	Clusters_(Raw)	Clusters(PF)	Yield_(MBases)	Run	Sequencer
2	121669999	100.0	97.77	2.23	36744	87.79	80.89	31.79	559237472	492260424	148663	170901_NB501012_0185_AHFT2JBGX3	nextseq_umc01
3	125705818	100.0	98.05	1.95	37963	88.86	82.35	32.1	559237472	492260424	148663	170901_NB501012_0185_AHFT2JBGX3	nextseq_umc01
4	123686118	100.0	97.81	2.19	37353	88.0	81.49	31.91	559237472	492260424	148663	170901_NB501012_0185_AHFT2JBGX3	nextseq_umc01
1	125120496	100.0	98.6	1.4	37786	91.51	84.64	32.64	543935521	497459993	150233	170904_NB501012_0186_AHJJ35BGX3	nextseq_umc01
2	123234130	100.0	98.57	1.43	37217	91.79	84.73	32.66	543935521	497459993	150233	170904_NB501012_0186_AHJJ35BGX3	nextseq_umc01
3	125640632	100.0	98.53	1.47	37943	91.05	84.3	32.58	543935521	497459993	150233	170904_NB501012_0186_AHJJ35BGX3	nextseq_umc01
4	123464735	100.0	98.52	1.48	37286	91.49	84.25	32.55	543935521	497459993	150233	170904_NB501012_0186_AHJJ35BGX3	nextseq_umc01
1	131911739	100.0	98.53	1.47	39837	91.82	83.65	32.43	572296559	525128447	158589	170906_NB501012_0187_AHFW5HBGX3	nextseq_umc01
2	129467107	100.0	98.39	1.61	39099	91.78	83.83	32.46	572296559	525128447	158589	170906_NB501012_0187_AHFW5HBGX3	nextseq_umc01
3	131954632	100.0	98.45	1.55	39850	91.72	83.53	32.41	572296559	525128447	158589	170906_NB501012_0187_AHFW5HBGX3	nextseq_umc01
4	131794969	100.0	98.37	1.63	39802	91.71	83.8	32.46	572296559	525128447	158589	170906_NB501012_0187_AHFW5HBGX3	nextseq_umc01
1	124642188	100.0	97.96	2.04	37642	87.63	80.67	31.8	568600071	496582254	149968	170911_NB501012_0189_AHJVH5BGX3	nextseq_umc01
2	123566348	100.0	98.06	1.94	37317	87.39	80.36	31.73	568600071	496582254	149968	170911_NB501012_0189_AHJVH5BGX3	nextseq_umc01
3	123578495	100.0	97.98	2.02	37321	87.06	80.34	31.73	568600071	496582254	149968	170911_NB501012_0189_AHJVH5BGX3	nextseq_umc01
4	124795223	100.0	98.09	1.91	37688	87.25	80.49	31.76	568600071	496582254	149968	170911_NB501012_0189_AHJVH5BGX3	nextseq_umc01
1	123187422	100.0	98.6	1.4	37203	93.01	84.97	32.72	530554232	493819489	149133	170915_NB501012_0191_AHKMTHBGX3	nextseq_umc01
2	122670128	100.0	98.3	1.7	37046	93.0	85.37	32.8	530554232	493819489	149133	170915_NB501012_0191_AHKMTHBGX3	nextseq_umc01
3	123937323	100.0	98.59	1.41	37429	93.2	84.98	32.73	530554232	493819489	149133	170915_NB501012_0191_AHKMTHBGX3	nextseq_umc01
4	124024616	100.0	98.45	1.55	37455	93.09	85.22	32.77	530554232	493819489	149133	170915_NB501012_0191_AHKMTHBGX3	nextseq_umc01
1	125798946	100.0	98.24	1.76	37991	89.42	83.12	32.3	561887320	498861221	150656	170918_NB501012_0192_AHKJF3BGX3	nextseq_umc01
2	125211354	100.0	98.07	1.93	37814	89.29	83.16	32.29	561887320	498861221	150656	170918_NB501012_0192_AHKJF3BGX3	nextseq_umc01
3	125810983	100.0	98.11	1.89	37995	88.93	82.73	32.23	561887320	498861221	150656	170918_NB501012_0192_AHKJF3BGX3	nextseq_umc01
4	122039938	100.0	97.63	2.37	36856	87.48	81.39	31.92	561887320	498861221	150656	170918_NB501012_0192_AHKJF3BGX3	nextseq_umc01
1	126933407	100.0	97.96	2.04	38334	88.18	82.11	32.04	576909987	503083403	151931	170922_NB501012_0194_AHMJMWBGX3	nextseq_umc01
2	122994069	100.0	97.24	2.76	37144	85.95	79.8	31.53	576909987	503083403	151931	170922_NB501012_0194_AHMJMWBGX3	nextseq_umc01
3	128804745	100.0	97.98	2.02	38899	88.44	82.47	32.13	576909987	503083403	151931	170922_NB501012_0194_AHMJMWBGX3	nextseq_umc01
4	124351182	100.0	97.28	2.72	37554	86.23	80.25	31.63	576909987	503083403	151931	170922_NB501012_0194_AHMJMWBGX3	nextseq_umc01
1	127909389	100.0	98.09	1.91	38629	89.35	83.31	32.32	571113907	506298532	152902	170925_NB501012_0195_AHLMHJBGX3	nextseq_umc01
2	123500743	100.0	97.48	2.52	37297	87.61	81.03	31.82	571113907	506298532	152902	170925_NB501012_0195_AHLMHJBGX3	nextseq_umc01
3	127192267	100.0	97.89	2.11	38412	88.6	82.5	32.15	571113907	506298532	152902	170925_NB501012_0195_AHLMHJBGX3	nextseq_umc01
4	127696133	100.0	97.87	2.13	38564	89.02	83.04	32.25	571113907	506298532	152902	170925_NB501012_0195_AHLMHJBGX3	nextseq_umc01
1	120769395	100.0	97.71	2.29	36472	88.68	82.97	32.19	549128838	479830440	144909	170927_NB501012_0196_AHMMVGBGX3	nextseq_umc01
2	120501494	100.0	97.54	2.46	36391	87.87	82.29	32.04	549128838	479830440	144909	170927_NB501012_0196_AHMMVGBGX3	nextseq_umc01
3	120572249	100.0	97.5	2.5	36413	87.59	82.01	32.0	549128838	479830440	144909	170927_NB501012_0196_AHMMVGBGX3	nextseq_umc01
4	117987302	100.0	96.83	3.17	35632	85.4	79.95	31.54	549128838	479830440	144909	170927_NB501012_0196_AHMMVGBGX3	nextseq_umc01
1	130786283	100.0	98.27	1.73	39497	89.12	84.0	32.46	585849453	520522829	157198	170929_NB501012_0197_AHLL3MBGX3	nextseq_umc01
2	127797719	100.0	97.94	2.06	38595	88.55	83.19	32.27	585849453	520522829	157198	170929_NB501012_0197_AHLL3MBGX3	nextseq_umc01
3	132671474	100.0	98.25	1.75	40067	89.38	83.9	32.45	585849453	520522829	157198	170929_NB501012_0197_AHLL3MBGX3	nextseq_umc01
4	129267353	100.0	97.97	2.03	39039	88.34	83.33	32.3	585849453	520522829	157198	170929_NB501012_0197_AHLL3MBGX3	nextseq_umc01
1	141669377	100.0	98.45	1.55	42784	90.68	84.01	32.49	625210052	567274880	171317	171006_NB501012_0199_AHLNC5BGX3	nextseq_umc01
2	140552556	100.0	98.42	1.58	42447	90.9	84.38	32.57	625210052	567274880	171317	171006_NB501012_0199_AHLNC5BGX3	nextseq_umc01
3	143679939	100.0	98.44	1.56	43391	90.83	83.79	32.46	625210052	567274880	171317	171006_NB501012_0199_AHLNC5BGX3	nextseq_umc01
4	141373008	100.0	98.34	1.66	42695	90.52	84.03	32.5	625210052	567274880	171317	171006_NB501012_0199_AHLNC5BGX3	nextseq_umc01
1	135482626	100.0	98.8	1.2	40916	92.52	81.8	32.14	575399270	534278612	161352	161125_NB501039_0069_AHVFNMBGXY	nextseq_umc02
2	128935589	100.0	98.71	1.29	38939	93.05	83.11	32.41	575399270	534278612	161352	161125_NB501039_0069_AHVFNMBGXY	nextseq_umc02
3	135905743	100.0	98.83	1.17	41044	92.86	81.93	32.18	575399270	534278612	161352	161125_NB501039_0069_AHVFNMBGXY	nextseq_umc02
4	133954654	100.0	98.49	1.51	40454	93.0	82.8	32.35	575399270	534278612	161352	161125_NB501039_0069_AHVFNMBGXY	nextseq_umc02
1	119866967	100.0	97.97	2.03	36200	89.19	83.04	32.25	534262706	474815147	143394	170531_NB501039_0127_AHMH3JBGX2	nextseq_umc02
2	118374606	100.0	97.76	2.24	35749	89.3	81.66	31.99	534262706	474815147	143394	170531_NB501039_0127_AHMH3JBGX2	nextseq_umc02
3	119199426	100.0	97.87	2.13	35998	89.07	82.19	32.07	534262706	474815147	143394	170531_NB501039_0127_AHMH3JBGX2	nextseq_umc02
4	117374148	100.0	97.49	2.51	35447	87.93	80.41	31.7	534262706	474815147	143394	170531_NB501039_0127_AHMH3JBGX2	nextseq_umc02
1	124979230	100.0	98.34	1.66	37744	91.43	84.46	32.6	548907419	503010882	151909	170606_NB501039_0128_AHMH2TBGX2	nextseq_umc02
2	120546826	100.0	98.15	1.85	36405	91.29	83.85	32.46	548907419	503010882	151909	170606_NB501039_0128_AHMH2TBGX2	nextseq_umc02
3	129960246	100.0	98.43	1.57	39248	92.13	84.72	32.68	548907419	503010882	151909	170606_NB501039_0128_AHMH2TBGX2	nextseq_umc02
4	127524580	100.0	98.23	1.77	38512	91.67	84.88	32.7	548907419	503010882	151909	170606_NB501039_0128_AHMH2TBGX2	nextseq_umc02
1	144242592	100.0	98.76	1.24	43561	91.05	82.97	32.33	621301337	567518440	171391	170608_NB501039_0129_AHTTNWBGX2	nextseq_umc02
2	139594550	100.0	98.64	1.36	42158	91.67	83.1	32.37	621301337	567518440	171391	170608_NB501039_0129_AHTTNWBGX2	nextseq_umc02
3	141708026	100.0	98.74	1.26	42796	91.31	82.6	32.27	621301337	567518440	171391	170608_NB501039_0129_AHTTNWBGX2	nextseq_umc02
4	141973272	100.0	98.63	1.37	42876	91.36	82.63	32.28	621301337	567518440	171391	170608_NB501039_0129_AHTTNWBGX2	nextseq_umc02
1	120803010	100.0	97.94	2.06	36483	89.07	82.56	32.13	537258617	476255825	143829	170614_NB501039_0132_AHNNF3BGX2	nextseq_umc02
2	117444686	100.0	97.69	2.31	35468	88.53	81.26	31.85	537258617	476255825	143829	170614_NB501039_0132_AHNNF3BGX2	nextseq_umc02
3	121294336	100.0	97.97	2.03	36631	89.48	82.67	32.16	537258617	476255825	143829	170614_NB501039_0132_AHNNF3BGX2	nextseq_umc02
4	116713793	100.0	97.48	2.52	35248	87.48	79.88	31.57	537258617	476255825	143829	170614_NB501039_0132_AHNNF3BGX2	nextseq_umc02
1	125953044	100.0	98.29	1.71	38038	90.21	84.13	32.51	551647153	496559020	149961	170619_NB501039_0134_AHJC5CBGX2	nextseq_umc02
2	122348978	100.0	98.07	1.93	36949	90.01	83.45	32.36	551647153	496559020	149961	170619_NB501039_0134_AHJC5CBGX2	nextseq_umc02
3	124726215	100.0	98.22	1.78	37667	89.85	83.47	32.38	551647153	496559020	149961	170619_NB501039_0134_AHJC5CBGX2	nextseq_umc02
4	123530783	100.0	98.12	1.88	37306	89.99	83.65	32.41	551647153	496559020	149961	170619_NB501039_0134_AHJC5CBGX2	nextseq_umc02
1	136999436	100.0	98.5	1.5	41374	90.04	83.69	32.43	604211571	545148344	164635	170628_NB501039_0137_AHVWV3BGX2	nextseq_umc02
2	135166712	100.0	98.42	1.58	40820	90.49	83.12	32.33	604211571	545148344	164635	170628_NB501039_0137_AHVWV3BGX2	nextseq_umc02
3	136563814	100.0	98.51	1.49	41242	90.26	83.43	32.4	604211571	545148344	164635	170628_NB501039_0137_AHVWV3BGX2	nextseq_umc02
4	136418382	100.0	98.38	1.62	41198	90.11	82.94	32.31	604211571	545148344	164635	170628_NB501039_0137_AHVWV3BGX2	nextseq_umc02
1	135227614	100.0	98.61	1.39	40839	92.13	84.73	32.68	575390700	529661584	159958	170630_NB501039_0138_AH3LT5BGX3	nextseq_umc02
2	129628015	100.0	98.35	1.65	39148	92.13	84.54	32.63	575390700	529661584	159958	170630_NB501039_0138_AH3LT5BGX3	nextseq_umc02
3	130443334	100.0	98.54	1.46	39394	91.92	84.36	32.61	575390700	529661584	159958	170630_NB501039_0138_AH3LT5BGX3	nextseq_umc02
4	134362621	100.0	98.37	1.63	40578	92.03	84.37	32.62	575390700	529661584	159958	170630_NB501039_0138_AH3LT5BGX3	nextseq_umc02
1	133667878	100.0	98.67	1.33	40368	91.3	81.55	32.0	583874339	531407321	160485	170703_NB501039_0139_AHVVWJBGX2	nextseq_umc02
2	132432424	100.0	98.5	1.5	39995	91.19	80.85	31.86	583874339	531407321	160485	170703_NB501039_0139_AHVVWJBGX2	nextseq_umc02
3	133681892	100.0	98.64	1.36	40372	91.18	81.01	31.9	583874339	531407321	160485	170703_NB501039_0139_AHVVWJBGX2	nextseq_umc02
4	131625127	100.0	98.45	1.55	39751	90.39	81.42	32.0	583874339	531407321	160485	170703_NB501039_0139_AHVVWJBGX2	nextseq_umc02
1	139140936	100.0	98.37	1.63	42021	88.45	80.55	31.81	616103445	546840775	165146	170705_NB501039_0140_AHVWHGBGX2	nextseq_umc02
2	133986114	100.0	98.21	1.79	40464	88.58	81.04	31.9	616103445	546840775	165146	170705_NB501039_0140_AHVWHGBGX2	nextseq_umc02
3	137140242	100.0	98.42	1.58	41416	89.13	80.84	31.87	616103445	546840775	165146	170705_NB501039_0140_AHVWHGBGX2	nextseq_umc02
4	136573483	100.0	98.25	1.75	41245	88.88	80.88	31.88	616103445	546840775	165146	170705_NB501039_0140_AHVWHGBGX2	nextseq_umc02
1	125049708	100.0	98.44	1.56	37765	90.06	82.75	32.25	554906501	501857171	151561	170707_NB501039_0141_AHW3TLBGX2	nextseq_umc02
2	124795968	100.0	98.28	1.72	37688	90.28	82.62	32.22	554906501	501857171	151561	170707_NB501039_0141_AHW3TLBGX2	nextseq_umc02
3	126369423	100.0	98.08	1.92	38164	90.83	82.3	32.17	554906501	501857171	151561	170707_NB501039_0141_AHW3TLBGX2	nextseq_umc02
4	125642072	100.0	98.34	1.66	37944	90.59	82.62	32.23	554906501	501857171	151561	170707_NB501039_0141_AHW3TLBGX2	nextseq_umc02
1	134189417	100.0	98.81	1.19	40525	90.72	81.33	31.99	587128979	533669021	161168	170710_NB501039_0142_AHVWLWBGX2	nextseq_umc02
2	133367927	100.0	98.53	1.47	40277	91.12	80.69	31.87	587128979	533669021	161168	170710_NB501039_0142_AHVWLWBGX2	nextseq_umc02
3	133284662	100.0	98.81	1.19	40252	90.81	81.51	32.04	587128979	533669021	161168	170710_NB501039_0142_AHVWLWBGX2	nextseq_umc02
4	132827015	100.0	98.63	1.37	40114	90.93	81.36	32.02	587128979	533669021	161168	170710_NB501039_0142_AHVWLWBGX2	nextseq_umc02
1	134904214	100.0	98.54	1.46	40741	89.81	81.86	32.09	589751560	529588557	159936	170714_NB501039_0144_AHVYC3BGX2	nextseq_umc02
2	131853535	100.0	98.48	1.52	39820	90.12	82.03	32.13	589751560	529588557	159936	170714_NB501039_0144_AHVYC3BGX2	nextseq_umc02
3	132599727	100.0	98.55	1.45	40045	90.07	82.29	32.18	589751560	529588557	159936	170714_NB501039_0144_AHVYC3BGX2	nextseq_umc02
4	130231081	100.0	98.32	1.68	39330	89.19	81.54	32.02	589751560	529588557	159936	170714_NB501039_0144_AHVYC3BGX2	nextseq_umc02
1	129672902	100.0	98.37	1.63	39161	89.97	82.7	32.25	572125718	515499069	155681	170719_NB501039_0146_AHVW2TBGX2	nextseq_umc02
2	127931802	100.0	98.25	1.75	38635	90.37	82.35	32.18	572125718	515499069	155681	170719_NB501039_0146_AHVW2TBGX2	nextseq_umc02
3	129652230	100.0	98.34	1.66	39155	90.03	82.38	32.19	572125718	515499069	155681	170719_NB501039_0146_AHVW2TBGX2	nextseq_umc02
4	128242135	100.0	98.2	1.8	38729	90.05	82.34	32.19	572125718	515499069	155681	170719_NB501039_0146_AHVW2TBGX2	nextseq_umc02
1	130250191	100.0	98.61	1.39	39336	91.12	82.56	32.23	567538861	517136638	156175	170721_NB501039_0147_AHVY7YBGX2	nextseq_umc02
2	129464563	100.0	98.53	1.47	39098	91.55	82.0	32.12	567538861	517136638	156175	170721_NB501039_0147_AHVY7YBGX2	nextseq_umc02
3	129621640	100.0	98.62	1.38	39146	91.34	82.29	32.18	567538861	517136638	156175	170721_NB501039_0147_AHVY7YBGX2	nextseq_umc02
4	127800244	100.0	98.38	1.62	38596	90.46	82.01	32.13	567538861	517136638	156175	170721_NB501039_0147_AHVY7YBGX2	nextseq_umc02
1	132717909	100.0	98.36	1.64	40081	90.94	81.87	32.1	573962225	523162316	157995	170724_NB501039_0148_AHVW32BGX2	nextseq_umc02
2	129103034	100.0	98.28	1.72	38989	91.47	81.86	32.1	573962225	523162316	157995	170724_NB501039_0148_AHVW32BGX2	nextseq_umc02
3	130397566	100.0	98.36	1.64	39380	91.21	81.65	32.06	573962225	523162316	157995	170724_NB501039_0148_AHVW32BGX2	nextseq_umc02
4	130943807	100.0	98.22	1.78	39545	90.98	81.38	32.01	573962225	523162316	157995	170724_NB501039_0148_AHVW32BGX2	nextseq_umc02
1	117108907	100.0	98.65	1.35	35367	91.62	83.77	32.49	504681892	466365119	140842	170727_NB501039_0149_AHVVWGBGX2	nextseq_umc02
2	115818190	100.0	98.52	1.48	34977	92.84	83.04	32.35	504681892	466365119	140842	170727_NB501039_0149_AHVVWGBGX2	nextseq_umc02
3	116900278	100.0	98.61	1.39	35304	92.54	83.2	32.37	504681892	466365119	140842	170727_NB501039_0149_AHVVWGBGX2	nextseq_umc02
4	116537744	100.0	98.48	1.52	35194	92.65	83.38	32.42	504681892	466365119	140842	170727_NB501039_0149_AHVVWGBGX2	nextseq_umc02
1	136406449	100.0	98.6	1.4	41195	91.25	80.7	31.83	591599025	540628196	163270	170728_NB501039_0150_AH3LYCBGX3	nextseq_umc02
2	134991485	100.0	98.49	1.51	40767	91.66	80.64	31.83	591599025	540628196	163270	170728_NB501039_0150_AH3LYCBGX3	nextseq_umc02
3	133591662	100.0	98.59	1.41	40345	91.48	80.4	31.77	591599025	540628196	163270	170728_NB501039_0150_AH3LYCBGX3	nextseq_umc02
4	135638600	100.0	98.44	1.56	40963	91.15	79.28	31.54	591599025	540628196	163270	170728_NB501039_0150_AH3LYCBGX3	nextseq_umc02
1	123099481	100.0	98.67	1.33	37176	92.16	81.78	32.08	532814093	490687983	148188	170731_NB501039_0151_AH3LY2BGX3	nextseq_umc02
2	121285221	100.0	98.5	1.5	36628	92.17	82.16	32.17	532814093	490687983	148188	170731_NB501039_0151_AH3LY2BGX3	nextseq_umc02
3	123553826	100.0	98.61	1.39	37313	91.98	81.07	31.94	532814093	490687983	148188	170731_NB501039_0151_AH3LY2BGX3	nextseq_umc02
4	122749455	100.0	98.52	1.48	37070	92.07	81.55	32.05	532814093	490687983	148188	170731_NB501039_0151_AH3LY2BGX3	nextseq_umc02
1	142663344	100.0	98.67	1.33	43084	90.41	78.18	31.31	628023235	567640034	171427	170802_NB501039_0152_AH535FBGX3	nextseq_umc02
2	140918326	100.0	98.49	1.51	42557	90.75	79.54	31.6	628023235	567640034	171427	170802_NB501039_0152_AH535FBGX3	nextseq_umc02
3	142100269	100.0	98.63	1.37	42914	90.27	77.92	31.26	628023235	567640034	171427	170802_NB501039_0152_AH535FBGX3	nextseq_umc02
4	141958095	100.0	98.51	1.49	42871	90.11	78.26	31.34	628023235	567640034	171427	170802_NB501039_0152_AH535FBGX3	nextseq_umc02
1	134127685	100.0	98.39	1.61	40507	90.51	81.83	32.07	583524970	528853380	159714	170807_NB501039_0154_AH3LY5BGX3	nextseq_umc02
2	130724956	100.0	98.24	1.76	39479	90.84	81.71	32.05	583524970	528853380	159714	170807_NB501039_0154_AH3LY5BGX3	nextseq_umc02
3	132485907	100.0	98.38	1.62	40011	90.61	81.58	32.03	583524970	528853380	159714	170807_NB501039_0154_AH3LY5BGX3	nextseq_umc02
4	131514832	100.0	98.22	1.78	39717	90.57	81.93	32.11	583524970	528853380	159714	170807_NB501039_0154_AH3LY5BGX3	nextseq_umc02
1	131211625	100.0	98.56	1.44	39626	90.8	81.55	32.02	576902768	524033349	158258	170809_NB501039_0155_AH3LTKBGX3	nextseq_umc02
2	129744791	100.0	98.44	1.56	39183	91.01	81.37	31.99	576902768	524033349	158258	170809_NB501039_0155_AH3LTKBGX3	nextseq_umc02
3	132583852	100.0	98.54	1.46	40040	90.76	80.94	31.9	576902768	524033349	158258	170809_NB501039_0155_AH3LTKBGX3	nextseq_umc02
4	130493081	100.0	98.42	1.58	39409	90.77	81.18	31.95	576902768	524033349	158258	170809_NB501039_0155_AH3LTKBGX3	nextseq_umc02
1	126725439	100.0	98.78	1.22	38271	90.91	83.03	32.33	556103247	507679210	153319	170811_NB501039_0156_AH3LY3BGX3	nextseq_umc02
2	124083795	100.0	98.67	1.33	37473	91.3	82.83	32.3	556103247	507679210	153319	170811_NB501039_0156_AH3LY3BGX3	nextseq_umc02
3	130034686	100.0	98.84	1.16	39270	91.68	81.7	32.06	556103247	507679210	153319	170811_NB501039_0156_AH3LY3BGX3	nextseq_umc02
4	126835290	100.0	98.7	1.3	38304	91.28	82.22	32.17	556103247	507679210	153319	170811_NB501039_0156_AH3LY3BGX3	nextseq_umc02
1	113395827	100.0	97.68	2.32	34246	85.47	78.79	31.36	547861716	486922428	147051	170814_NB501039_0157_AHFVCFBGX3	nextseq_umc02
2	117956748	100.0	97.9	2.1	35623	88.05	80.96	31.84	547861716	486922428	147051	170814_NB501039_0157_AHFVCFBGX3	nextseq_umc02
3	129443539	100.0	98.52	1.48	39092	91.08	82.65	32.23	547861716	486922428	147051	170814_NB501039_0157_AHFVCFBGX3	nextseq_umc02
4	126126314	100.0	98.31	1.69	38090	90.67	82.7	32.24	547861716	486922428	147051	170814_NB501039_0157_AHFVCFBGX3	nextseq_umc02
1	129883764	100.0	98.55	1.45	39225	90.5	82.39	32.21	568481560	514250901	155304	170818_NB501039_0159_AH3LNKBGX3	nextseq_umc02
2	128248158	100.0	98.41	1.59	38731	90.65	81.87	32.11	568481560	514250901	155304	170818_NB501039_0159_AH3LNKBGX3	nextseq_umc02
3	129493051	100.0	98.53	1.47	39107	90.52	81.96	32.12	568481560	514250901	155304	170818_NB501039_0159_AH3LNKBGX3	nextseq_umc02
4	126625928	100.0	98.36	1.64	38241	90.16	81.78	32.08	568481560	514250901	155304	170818_NB501039_0159_AH3LNKBGX3	nextseq_umc02
1	130691520	100.0	98.58	1.42	39469	91.48	81.95	32.11	566766627	519270504	156820	170821_NB501039_0160_AH3WLFBGX3	nextseq_umc02
2	128888641	100.0	98.46	1.54	38924	91.74	81.93	32.11	566766627	519270504	156820	170821_NB501039_0160_AH3WLFBGX3	nextseq_umc02
3	130404847	100.0	98.56	1.44	39382	91.65	81.92	32.11	566766627	519270504	156820	170821_NB501039_0160_AH3WLFBGX3	nextseq_umc02
4	129285496	100.0	98.45	1.55	39044	91.61	82.05	32.14	566766627	519270504	156820	170821_NB501039_0160_AH3WLFBGX3	nextseq_umc02
1	137502409	100.0	98.55	1.45	41526	91.12	79.62	31.58	598017686	546086877	164918	170823_NB501039_0161_AH535HBGX3	nextseq_umc02
2	134939197	100.0	98.42	1.58	40752	91.62	79.63	31.6	598017686	546086877	164918	170823_NB501039_0161_AH535HBGX3	nextseq_umc02
3	136742765	100.0	98.53	1.47	41296	91.29	79.71	31.62	598017686	546086877	164918	170823_NB501039_0161_AH535HBGX3	nextseq_umc02
4	136902506	100.0	98.36	1.64	41345	91.24	79.14	31.51	598017686	546086877	164918	170823_NB501039_0161_AH535HBGX3	nextseq_umc02
1	117599855	100.0	98.29	1.71	35515	86.99	80.95	31.83	536910909	469759904	141867	170825_NB501039_0162_AHFYYKBGX3	nextseq_umc02
2	113835663	100.0	98.04	1.96	34378	86.36	79.27	31.48	536910909	469759904	141867	170825_NB501039_0162_AHFYYKBGX3	nextseq_umc02
3	116194651	100.0	98.31	1.69	35091	87.25	80.49	31.74	536910909	469759904	141867	170825_NB501039_0162_AHFYYKBGX3	nextseq_umc02
4	122129735	100.0	98.48	1.52	36883	89.32	82.03	32.09	536910909	469759904	141867	170825_NB501039_0162_AHFYYKBGX3	nextseq_umc02
1	109958894	100.0	97.58	2.42	33208	84.38	78.01	31.18	520600419	440411734	133004	170828_NB501039_0163_AHFT33BGX3	nextseq_umc02
2	112271895	100.0	97.78	2.22	33906	86.55	79.18	31.47	520600419	440411734	133004	170828_NB501039_0163_AHFT33BGX3	nextseq_umc02
3	109346141	100.0	97.47	2.53	33023	83.76	77.46	31.08	520600419	440411734	133004	170828_NB501039_0163_AHFT33BGX3	nextseq_umc02
4	108834804	100.0	97.3	2.7	32868	83.7	76.66	30.93	520600419	440411734	133004	170828_NB501039_0163_AHFT33BGX3	nextseq_umc02
1	124862719	100.0	98.2	1.8	37709	90.37	83.65	32.43	553645121	501829685	151553	170830_NB501039_0164_AHFYYWBGX3	nextseq_umc02
2	124453217	100.0	98.17	1.83	37585	90.87	83.52	32.41	553645121	501829685	151553	170830_NB501039_0164_AHFYYWBGX3	nextseq_umc02
3	127795555	100.0	98.37	1.63	38594	91.13	83.89	32.49	553645121	501829685	151553	170830_NB501039_0164_AHFYYWBGX3	nextseq_umc02
4	124718194	100.0	98.01	1.99	37665	90.18	82.93	32.29	553645121	501829685	151553	170830_NB501039_0164_AHFYYWBGX3	nextseq_umc02
1	117149654	100.0	97.69	2.31	35379	88.96	82.92	32.21	523508443	462674174	139728	170901_NB501039_0165_AHFT3GBGX3	nextseq_umc02
2	113690882	100.0	97.16	2.84	34335	87.9	80.92	31.78	523508443	462674174	139728	170901_NB501039_0165_AHFT3GBGX3	nextseq_umc02
3	116110416	100.0	97.44	2.56	35065	88.22	81.73	31.96	523508443	462674174	139728	170901_NB501039_0165_AHFT3GBGX3	nextseq_umc02
4	115723222	100.0	97.25	2.75	34948	88.43	81.66	31.95	523508443	462674174	139728	170901_NB501039_0165_AHFT3GBGX3	nextseq_umc02
1	119969182	100.0	98.05	1.95	36231	89.95	82.63	32.16	527922625	474456540	143286	170904_NB501039_0166_AHKGY2BGX3	nextseq_umc02
2	118328686	100.0	97.88	2.12	35735	90.22	82.52	32.15	527922625	474456540	143286	170904_NB501039_0166_AHKGY2BGX3	nextseq_umc02
3	118530560	100.0	97.98	2.02	35796	89.62	82.55	32.16	527922625	474456540	143286	170904_NB501039_0166_AHKGY2BGX3	nextseq_umc02
4	117628112	100.0	97.83	2.17	35524	89.7	82.33	32.12	527922625	474456540	143286	170904_NB501039_0166_AHKGY2BGX3	nextseq_umc02
1	127198710	100.0	98.05	1.95	38414	88.73	83.16	32.29	573249183	507802258	153356	170908_NB501039_0167_AHFWHFBGX3	nextseq_umc02
2	126126301	100.0	97.84	2.16	38090	88.76	82.44	32.15	573249183	507802258	153356	170908_NB501039_0167_AHFWHFBGX3	nextseq_umc02
3	128541925	100.0	98.0	2.0	38820	88.65	82.64	32.19	573249183	507802258	153356	170908_NB501039_0167_AHFWHFBGX3	nextseq_umc02
4	125935322	100.0	97.71	2.29	38032	88.19	81.74	32.0	573249183	507802258	153356	170908_NB501039_0167_AHFWHFBGX3	nextseq_umc02
1	114514865	100.0	97.76	2.24	34583	84.93	78.4	31.27	533771682	451862971	136463	170911_NB501039_0168_AHKCWNBGX3	nextseq_umc02
2	111252433	100.0	97.53	2.47	33598	84.34	77.35	31.04	533771682	451862971	136463	170911_NB501039_0168_AHKCWNBGX3	nextseq_umc02
3	113540134	100.0	97.77	2.23	34289	85.04	78.05	31.22	533771682	451862971	136463	170911_NB501039_0168_AHKCWNBGX3	nextseq_umc02
4	112555539	100.0	97.53	2.47	33992	84.3	77.52	31.1	533771682	451862971	136463	170911_NB501039_0168_AHKCWNBGX3	nextseq_umc02
1	118040110	100.0	98.42	1.58	35648	91.57	85.57	32.79	511780661	465016060	140435	170913_NB501039_0169_AHLMFGBGX3	nextseq_umc02
2	113580233	100.0	97.95	2.05	34301	90.01	83.11	32.25	511780661	465016060	140435	170913_NB501039_0169_AHLMFGBGX3	nextseq_umc02
3	116597823	100.0	98.28	1.72	35213	91.0	84.45	32.56	511780661	465016060	140435	170913_NB501039_0169_AHLMFGBGX3	nextseq_umc02
4	116797894	100.0	98.12	1.88	35273	90.85	84.17	32.5	511780661	465016060	140435	170913_NB501039_0169_AHLMFGBGX3	nextseq_umc02
1	120706805	100.0	98.05	1.95	36453	90.32	83.86	32.45	530876968	474598072	143329	170915_NB501039_0170_AHMJWFBGX3	nextseq_umc02
2	119892944	100.0	97.84	2.16	36208	90.53	83.0	32.29	530876968	474598072	143329	170915_NB501039_0170_AHMJWFBGX3	nextseq_umc02
