Lane	PF_Clusters	%_of_the_lane	%_Perfect_barcode	%_One_mismatch_barcode	Yield_(Mbases)	%_PF_Clusters	%_=_Q30_bases	Mean_Quality_Score	Clusters_(Raw)	Clusters(PF)	Yield_(MBases)	Run	Sequencer
1	169166091	100.0	98.34	1.66	34172	93.02	92.06	37.42	365369296	339505897	68580	170830_D00267_0714_AHT757BCXY	hiseq_umc01
2	170339806	100.0	98.28	1.72	34409	92.82	92.05	37.41	365369296	339505897	68580	170830_D00267_0714_AHT757BCXY	hiseq_umc01
1	119702675	100.0	98.57	1.43	24180	95.89	94.29	38.04	246395251	236460837	47765	170830_D00267_0715_BHT5HHBCXY	hiseq_umc01
2	116758162	100.0	98.59	1.41	23585	96.04	94.57	38.13	246395251	236460837	47765	170830_D00267_0715_BHT5HHBCXY	hiseq_umc01
1	196308801	100.0	98.24	1.76	39654	89.77	91.01	37.15	435135444	391495628	79082	170901_D00267_0716_AHJ5NWBCXY	hiseq_umc01
2	195186827	100.0	98.23	1.77	39428	90.17	91.17	37.2	435135444	391495628	79082	170901_D00267_0716_AHJ5NWBCXY	hiseq_umc01
1	187546451	100.0	97.96	2.04	37884	92.61	93.3	37.73	403940237	374558013	75661	170915_D00267_0717_BHT5MMBCXY	hiseq_umc01
2	187011562	100.0	98.28	1.72	37776	92.85	93.6	37.81	403940237	374558013	75661	170915_D00267_0717_BHT5MMBCXY	hiseq_umc01
1	183304714	100.0	92.19	7.81	27679	90.31	90.38	36.99	401424653	363537077	54894	170918_D00267_0718_BHTJJFBCXY	hiseq_umc01
2	180232363	100.0	92.02	7.98	27215	90.82	90.7	37.07	401424653	363537077	54894	170918_D00267_0718_BHTJJFBCXY	hiseq_umc01
1	195396929	100.0	97.93	2.07	39470	90.07	92.24	37.43	438712589	395447191	79880	170927_D00267_0719_AHNWKHBCXY	hiseq_umc01
2	200050262	100.0	98.35	1.65	40410	90.21	92.52	37.51	438712589	395447191	79880	170927_D00267_0719_AHNWKHBCXY	hiseq_umc01
1	199260707	100.0	98.32	1.68	40251	91.2	92.86	37.6	442412124	402380244	81281	171003_D00267_0720_AHNWGJBCXY	hiseq_umc01
2	203119537	100.0	98.26	1.74	41030	90.71	92.72	37.56	442412124	402380244	81281	171003_D00267_0720_AHNWGJBCXY	hiseq_umc01
1	142279784	100.0	98.7	1.3	42968	92.12	83.23	32.4	621230374	572543499	172908	161017_NB501012_0063_AHVVYLBGXY	nextseq_umc01
2	142568028	100.0	98.54	1.46	43056	92.28	83.35	32.42	621230374	572543499	172908	161017_NB501012_0063_AHVVYLBGXY	nextseq_umc01
3	142962840	100.0	98.63	1.37	43175	92.06	83.39	32.44	621230374	572543499	172908	161017_NB501012_0063_AHVVYLBGXY	nextseq_umc01
4	144732847	100.0	98.51	1.49	43709	92.18	82.97	32.35	621230374	572543499	172908	161017_NB501012_0063_AHVVYLBGXY	nextseq_umc01
1	122615819	100.0	98.35	1.65	37030	90.06	84.08	32.46	549225938	494153825	149234	170210_NB000000_0001_XXNICUTEST	nextseq_umc01
2	125800865	100.0	98.33	1.67	37992	89.66	84.88	32.63	549225938	494153825	149234	170210_NB000000_0001_XXNICUTEST	nextseq_umc01
3	123747302	100.0	98.29	1.71	37372	90.04	84.08	32.46	549225938	494153825	149234	170210_NB000000_0001_XXNICUTEST	nextseq_umc01
4	121989839	100.0	98.2	1.8	36841	90.14	83.87	32.41	549225938	494153825	149234	170210_NB000000_0001_XXNICUTEST	nextseq_umc01
1	130619376	100.0	98.18	1.82	39447	90.25	82.89	32.26	583260386	523729008	158166	170531_NB501012_0144_AHNKFVBGX2	nextseq_umc01
2	130519138	100.0	98.05	1.95	39417	89.79	82.35	32.14	583260386	523729008	158166	170531_NB501012_0144_AHNKFVBGX2	nextseq_umc01
3	131876396	100.0	98.05	1.95	39827	89.68	82.6	32.2	583260386	523729008	158166	170531_NB501012_0144_AHNKFVBGX2	nextseq_umc01
4	130714098	100.0	97.93	2.07	39476	89.46	81.75	32.01	583260386	523729008	158166	170531_NB501012_0144_AHNKFVBGX2	nextseq_umc01
1	112716369	100.0	97.86	2.14	34040	89.2	81.49	31.93	513660556	454685245	137315	170602_NB501012_0145_AHNKL5BGX2	nextseq_umc01
2	114444304	100.0	97.68	2.32	34562	89.05	80.99	31.83	513660556	454685245	137315	170602_NB501012_0145_AHNKL5BGX2	nextseq_umc01
3	113967716	100.0	97.56	2.44	34418	88.06	80.57	31.73	513660556	454685245	137315	170602_NB501012_0145_AHNKL5BGX2	nextseq_umc01
4	113556856	100.0	97.35	2.65	34294	87.79	79.82	31.57	513660556	454685245	137315	170602_NB501012_0145_AHNKL5BGX2	nextseq_umc01
1	116906459	100.0	98.54	1.46	35306	90.77	83.49	32.34	524862797	472727636	142764	170606_NB501012_0146_AHNJHGBGX2	nextseq_umc01
2	124447719	100.0	98.65	1.35	37583	91.98	85.23	32.73	524862797	472727636	142764	170606_NB501012_0146_AHNJHGBGX2	nextseq_umc01
3	115749570	100.0	98.27	1.73	34956	89.15	81.18	31.84	524862797	472727636	142764	170606_NB501012_0146_AHNJHGBGX2	nextseq_umc01
4	115623888	100.0	98.04	1.96	34918	88.32	78.86	31.39	524862797	472727636	142764	170606_NB501012_0146_AHNJHGBGX2	nextseq_umc01
1	130121618	100.0	98.11	1.89	39297	89.64	83.27	32.31	581433330	519847761	156994	170608_NB501012_0147_AHNL2JBGX2	nextseq_umc01
2	131097461	100.0	98.35	1.65	39591	89.45	82.97	32.24	581433330	519847761	156994	170608_NB501012_0147_AHNL2JBGX2	nextseq_umc01
3	128517230	100.0	98.13	1.87	38812	88.76	81.82	31.99	581433330	519847761	156994	170608_NB501012_0147_AHNL2JBGX2	nextseq_umc01
